auc,ap,f1,th,model,seed
0.6065372059100788,0.34596134379260285,0.4019607843137255,0.2599999999999999,tfidf,0
0.5782668664477014,0.3216300819080325,0.39824304538799415,0.2099999999999999,tfidf,1
0.5919604671700884,0.3163336670338576,0.4,0.2149999999999999,tfidf,2
0.5592149002252498,0.297492015188734,0.39898348157560354,0.18499999999999994,tfidf,3
0.5960685473868046,0.32109909829498673,0.41751824817518246,0.2099999999999999,tfidf,4
0.5754090715143336,0.32659172537130376,0.4046920821114369,0.2099999999999999,tfidf,5
0.6101689869712335,0.34159322440548096,0.42441860465116277,0.2099999999999999,tfidf,6
0.5558609603381723,0.2890734096838069,0.4046094750320102,0.18999999999999995,tfidf,7
0.5824741756551595,0.33130912285041575,0.4,0.2149999999999999,tfidf,8
0.5723428957004077,0.3187098115403435,0.39242219215155616,0.19499999999999995,tfidf,9
0.6690613929765721,0.36365763575099064,0.47035573122529645,0.24499999999999988,embed,0
0.6602697043968365,0.3516306173792899,0.4522417153996101,0.24499999999999988,embed,1
0.6724351786617978,0.3806352932212281,0.4600760456273764,0.23999999999999988,embed,2
0.6787560653720591,0.3777101156435736,0.4621676891615542,0.2499999999999999,embed,3
0.6691308532700913,0.3714403488087295,0.4538152610441767,0.2499999999999999,embed,4
0.6464570288855592,0.3521471084151231,0.43902439024390244,0.1999999999999999,embed,5
0.6727824801293946,0.36444429297536146,0.45203252032520325,0.21999999999999992,embed,6
0.6697857646089881,0.35500037040026,0.4646098003629764,0.23499999999999993,embed,7
0.6746876767516398,0.3637002147799691,0.46616541353383456,0.23999999999999988,embed,8
0.668029411472856,0.3638127534106308,0.4693140794223827,0.23499999999999993,embed,9
0.6611230737172172,0.36698526871027254,0.46311475409836067,0.24499999999999988,blend,0
0.6447800589420205,0.35583806088829606,0.44165170556552963,0.23499999999999993,blend,1
0.6559929348958592,0.3699231166449164,0.4444444444444444,0.23499999999999993,blend,2
0.6467150242614882,0.3494598305136474,0.43448275862068964,0.22999999999999993,blend,3
0.6586225031505205,0.35711152113445666,0.45753899480069327,0.22999999999999993,blend,4
0.631830675650198,0.3525715478863469,0.43010752688172044,0.2149999999999999,blend,5
0.667523343620072,0.3718037529389607,0.4520547945205479,0.22999999999999993,blend,6
0.6394713079373269,0.3342878720436041,0.4383561643835616,0.2149999999999999,blend,7
0.6549014159976979,0.3647804200488166,0.4547008547008547,0.22999999999999993,blend,8
0.6446312154559076,0.353557822821449,0.44404973357015987,0.22999999999999993,blend,9
