auc,ap,f1,th,model,seed
0.6587217321412624,0.3409832738687546,0.45871559633027525,0.23499999999999993,tfidf,0
0.6540083550810204,0.3407084837999278,0.4540337711069418,0.23999999999999988,tfidf,1
0.6727924030284689,0.3475752887265109,0.4778761061946903,0.22999999999999993,tfidf,2
0.6668386635839526,0.3516984132412653,0.46801872074882994,0.2149999999999999,tfidf,3
0.632753505264098,0.31658026118485866,0.43618739903069464,0.21999999999999992,tfidf,4
0.6495926649930043,0.3370126353275399,0.45531197301854975,0.22499999999999992,tfidf,5
0.665985294263572,0.3482714595578799,0.4701348747591522,0.23999999999999988,tfidf,6
0.6457128114549947,0.33510779741995417,0.44396551724137934,0.2549999999999999,tfidf,7
0.645573890867956,0.3267624101517791,0.4457831325301205,0.24499999999999988,tfidf,8
0.6610436905246236,0.3341442967244286,0.4724689165186501,0.22999999999999993,tfidf,9
0.6944640146065074,0.38490681402157506,0.49029982363315694,0.23499999999999993,embed,0
0.6966073608065332,0.40334586955724416,0.4907563025210084,0.22999999999999993,embed,1
0.7040197664149558,0.39114051655158183,0.49491525423728816,0.22999999999999993,embed,2
0.7005566746380624,0.4062460608801447,0.4842105263157895,0.23499999999999993,embed,3
0.6874683707592011,0.37327718221421907,0.48608534322820035,0.23999999999999988,embed,4
0.6908322335453527,0.3918637370650117,0.47202797202797203,0.23499999999999993,embed,5
0.7057265050557171,0.400417085031424,0.49034749034749037,0.24499999999999988,embed,6
0.6948807763676236,0.37801659381116137,0.48111332007952284,0.2499999999999999,embed,7
0.6931839606259365,0.3794178033962589,0.48951048951048953,0.23499999999999993,embed,8
0.7009833592982525,0.3999608156352561,0.4990825688073395,0.23999999999999988,embed,9
0.6863470831638172,0.3714681286319037,0.4823529411764706,0.24499999999999988,blend,0
0.6852853329628784,0.3721217105624367,0.4816955684007707,0.24499999999999988,blend,1
0.6976095736130268,0.37773267728693755,0.4927536231884058,0.23499999999999993,blend,2
0.6941167131389107,0.38893299148889593,0.47794117647058826,0.23999999999999988,blend,3
0.6692896196552786,0.35315638564293295,0.4672131147540984,0.2499999999999999,blend,4
0.6785476844915009,0.3691993925902298,0.4703891708967851,0.22999999999999993,blend,5
0.6957837601833752,0.38067313637581673,0.4849624060150376,0.23999999999999988,blend,6
0.6800261964535559,0.36789069990299955,0.4758220502901354,0.24499999999999988,blend,7
0.6772577076118559,0.35974382698405255,0.4797047970479705,0.23999999999999988,blend,8
0.6903261656925688,0.3722695460004679,0.48028673835125446,0.23499999999999993,blend,9
