,auc,ap,f1,th
E0_anchor,0.9290909632158131,0.8329105615389255,0.7349081364829396,0.23999999999999988
E1_finance,0.825912658642349,0.6245766996373179,0.5957446808510638,0.28499999999999986
E2_survey,0.6805818788017107,0.4283381785957022,0.4662813102119461,0.22999999999999993
E3_dx_text,0.7894360816456136,0.5063149069611423,0.5916230366492147,0.31999999999999984
E4_org_text,0.6094942298341883,0.343764051104522,0.4103448275862069,0.22999999999999993
E6_manual,0.8252577473034521,0.6257135886905402,0.6070460704607046,0.3599999999999998
E4b_org_emb,0.6795796659952171,0.3832529865708072,0.469601677148847,0.2549999999999999
E5_overview_emb,0.6924397431953719,0.39637095188610766,0.48403361344537815,0.22999999999999993
E3b_dx_emb,0.7946952181549363,0.5428034332175729,0.5901639344262295,0.3049999999999999
E5x_cross_sim,0.579427845639382,0.31036991095150057,0.41278295605858856,0.33999999999999986
