seed,model,auc,ap,f1,th
42,E0_anchor,0.9290909632158131,0.8329105615389255,0.7349081364829396,0.23999999999999988
42,uniform,0.937495658731655,0.8449738144491455,0.7560321715817694,0.2599999999999999
42,meta,0.9476269386864067,0.8598977496179843,0.7775061124694377,0.2549999999999999
0,E0_anchor,0.9292794982982229,0.833014348060184,0.7393617021276596,0.28499999999999986
0,uniform,0.9373765839427648,0.8456587118886127,0.7465940054495913,0.2749999999999999
0,meta,0.9409091360131776,0.8479621617908351,0.7688172043010753,0.3549999999999998
1,E0_anchor,0.9326433610843744,0.8366712183314794,0.7348066298342542,0.2999999999999999
1,uniform,0.9398176171150163,0.8508733627004968,0.7546174142480211,0.2549999999999999
1,meta,0.9473490975123291,0.861616389408266,0.7880434782608695,0.38999999999999985
2,E0_anchor,0.9315220734889905,0.8361000279401456,0.7506561679790026,0.23999999999999988
2,uniform,0.9382497990612937,0.8521443941464825,0.7580174927113703,0.2949999999999999
2,meta,0.9428937158280162,0.8585235336585374,0.782608695652174,0.2999999999999999
3,E0_anchor,0.9248538853111326,0.8166052352646828,0.72782874617737,0.42999999999999977
3,uniform,0.9334371930103099,0.8315992005587247,0.7444444444444445,0.27999999999999986
3,meta,0.9407404467289163,0.8468911916888896,0.7626666666666667,0.3499999999999998
