name,analyzer,ngram,seed,auc,ap,f1,th,fold_f1,fold_th,text_version
"H10-1 char_wb(1,3)",char_wb,"(1, 3)",0,0.7855363823094554,0.5094714581301769,0.5794871794871795,0.3099999999999999,"0.5882,0.6517,0.5581,0.5500,0.6458","0.230,0.295,0.275,0.280,0.230",normalized
"H10-1 char_wb(1,3)",char_wb,"(1, 3)",1,0.7862409081437232,0.5041253544643474,0.5789473684210527,0.31999999999999984,"0.6087,0.5934,0.5750,0.6374,0.6133","0.255,0.255,0.330,0.220,0.340",normalized
"H10-1 char_wb(1,3)",char_wb,"(1, 3)",2,0.7858936066761265,0.5143239259651639,0.5852417302798982,0.3099999999999999,"0.5974,0.5867,0.6197,0.5714,0.6585","0.315,0.305,0.330,0.225,0.295",normalized
"H10-1 char_wb(1,3)",char_wb,"(1, 3)",3,0.7884636375363426,0.5117278468876869,0.5888324873096447,0.3099999999999999,"0.5882,0.5192,0.6279,0.6933,0.5882","0.260,0.230,0.265,0.310,0.340",normalized
"H10-1 char_wb(1,3)",char_wb,"(1, 3)",4,0.7844051718149975,0.5019997273179548,0.5779036827195467,0.34499999999999986,"0.5714,0.6186,0.5347,0.6329,0.7324","0.255,0.245,0.250,0.345,0.345",normalized
"H10-2 char(1,3)",char,"(1, 3)",0,0.7856753028964941,0.5093974363482789,0.5818181818181818,0.31499999999999984,"0.5882,0.6517,0.5600,0.5567,0.6458","0.230,0.295,0.315,0.240,0.230",normalized
"H10-2 char(1,3)",char,"(1, 3)",1,0.7864393661252072,0.5043236706717114,0.5808080808080808,0.3049999999999999,"0.6087,0.5957,0.5750,0.6374,0.6111","0.255,0.245,0.330,0.220,0.355",normalized
"H10-2 char(1,3)",char,"(1, 3)",2,0.7859432211714975,0.5146836904771174,0.5876288659793815,0.31499999999999984,"0.5974,0.5867,0.6197,0.5714,0.6585","0.315,0.305,0.330,0.225,0.295",normalized
"H10-2 char(1,3)",char,"(1, 3)",3,0.7884934062335651,0.5112027750709404,0.5903307888040712,0.3099999999999999,"0.5909,0.5192,0.6279,0.7027,0.5882","0.310,0.230,0.260,0.320,0.340",normalized
"H10-2 char(1,3)",char,"(1, 3)",4,0.7844944779066653,0.5016757721662672,0.5808219178082191,0.33499999999999985,"0.5714,0.6200,0.5347,0.6329,0.7324","0.255,0.225,0.250,0.345,0.345",normalized
