name,analyzer,ngram,seed,auc,ap,f1,th,fold_f1,fold_th,text_version
"H10-1 char_wb(1,3)",char_wb,"(1, 3)",0,0.7856356113001973,0.5097500768106374,0.5794871794871795,0.3099999999999999,"0.5882,0.6517,0.5581,0.5500,0.6392","0.230,0.295,0.275,0.280,0.230",raw
"H10-1 char_wb(1,3)",char_wb,"(1, 3)",1,0.7861912936483523,0.5035793835254492,0.5774278215223098,0.31999999999999984,"0.6087,0.5934,0.5750,0.6374,0.6111","0.250,0.255,0.330,0.220,0.355",raw
"H10-1 char_wb(1,3)",char_wb,"(1, 3)",2,0.7858936066761264,0.5145678790682897,0.5867346938775511,0.3099999999999999,"0.5974,0.5867,0.6197,0.5714,0.6585","0.315,0.305,0.330,0.225,0.295",raw
"H10-1 char_wb(1,3)",char_wb,"(1, 3)",3,0.7885231749307877,0.5119326956519689,0.589010989010989,0.2599999999999999,"0.5882,0.5192,0.6279,0.6933,0.5882","0.260,0.230,0.265,0.310,0.340",raw
"H10-1 char_wb(1,3)",char_wb,"(1, 3)",4,0.7843357115214781,0.5013762752941323,0.5795454545454546,0.34499999999999986,"0.5714,0.6200,0.5347,0.6329,0.7324","0.255,0.225,0.250,0.345,0.345",raw
"H10-2 char(1,3)",char,"(1, 3)",0,0.7857249173918652,0.5095541410228727,0.5796344647519582,0.31499999999999984,"0.5882,0.6517,0.5581,0.5567,0.6458","0.230,0.295,0.275,0.240,0.230",raw
"H10-2 char(1,3)",char,"(1, 3)",1,0.786429443226133,0.5041248689580451,0.5772151898734177,0.3049999999999999,"0.6087,0.5957,0.5750,0.6374,0.6111","0.250,0.245,0.330,0.220,0.355",raw
"H10-2 char(1,3)",char,"(1, 3)",2,0.7859035295752007,0.5129977809169274,0.5876288659793815,0.31499999999999984,"0.5974,0.5867,0.6197,0.5714,0.6585","0.315,0.305,0.330,0.225,0.295",raw
"H10-2 char(1,3)",char,"(1, 3)",3,0.78843386883912,0.5112679438086473,0.5903307888040712,0.3099999999999999,"0.5909,0.5192,0.6279,0.7027,0.5897","0.310,0.230,0.265,0.320,0.285",raw
"H10-2 char(1,3)",char,"(1, 3)",4,0.7844448634112943,0.5007662473413493,0.5808219178082191,0.33499999999999985,"0.5714,0.6200,0.5347,0.6329,0.7324","0.255,0.225,0.250,0.345,0.345",raw
"H10-3 char(2,4)",char,"(2, 4)",0,0.7861813707492781,0.5088055721810293,0.5852417302798982,0.2999999999999999,"0.5926,0.6517,0.5517,0.5714,0.6316","0.205,0.290,0.275,0.280,0.230",raw
"H10-3 char(2,4)",char,"(2, 4)",1,0.7860325272631652,0.5018660114218513,0.581151832460733,0.31499999999999984,"0.6286,0.5918,0.5679,0.6374,0.6216","0.335,0.230,0.320,0.220,0.340",raw
"H10-3 char(2,4)",char,"(2, 4)",2,0.7857050715937168,0.5102733384541195,0.5853658536585366,0.31999999999999984,"0.5867,0.5867,0.6197,0.5664,0.6517","0.320,0.295,0.320,0.225,0.265",raw
"H10-3 char(2,4)",char,"(2, 4)",3,0.7879774154817071,0.5069769841311667,0.5812807881773399,0.2949999999999999,"0.5806,0.5250,0.6087,0.7027,0.5915","0.300,0.290,0.230,0.315,0.330",raw
"H10-3 char(2,4)",char,"(2, 4)",4,0.7848120106770394,0.5012322336623102,0.5714285714285714,0.31499999999999984,"0.5610,0.6139,0.5391,0.6154,0.7297","0.260,0.215,0.220,0.340,0.330",raw
"H10-4 char(2,6)",char,"(2, 6)",0,0.7889597824900522,0.5117919199620979,0.5808080808080808,0.2949999999999999,"0.5926,0.6506,0.5556,0.5526,0.6458","0.210,0.310,0.320,0.280,0.225",raw
"H10-4 char(2,6)",char,"(2, 6)",1,0.7888803992974587,0.5049118714599082,0.5826771653543307,0.3099999999999999,"0.6286,0.5979,0.5641,0.6444,0.6216","0.330,0.230,0.320,0.225,0.330",raw
"H10-4 char(2,6)",char,"(2, 6)",2,0.7884239459400458,0.5103865739514206,0.5873015873015873,0.3099999999999999,"0.5846,0.5867,0.6176,0.5676,0.6444","0.360,0.285,0.330,0.325,0.255",raw
"H10-4 char(2,6)",char,"(2, 6)",3,0.7902398364706232,0.5109652331275093,0.5824742268041238,0.3049999999999999,"0.5870,0.5278,0.6087,0.6944,0.5867","0.300,0.315,0.225,0.325,0.310",raw
"H10-4 char(2,6)",char,"(2, 6)",4,0.7877591117020748,0.5033164587556043,0.5714285714285714,0.32499999999999984,"0.5542,0.6337,0.5400,0.6098,0.7342","0.250,0.225,0.250,0.325,0.295",raw
"H10-5 char(3,6)",char,"(3, 6)",0,0.7894162358474652,0.5106838352816937,0.5766233766233766,0.2999999999999999,"0.5981,0.6410,0.5600,0.5526,0.6392","0.215,0.320,0.300,0.280,0.225",raw
"H10-5 char(3,6)",char,"(3, 6)",1,0.7893368526548716,0.5056677705155926,0.5837837837837838,0.31499999999999984,"0.6301,0.5952,0.5647,0.6444,0.6301","0.315,0.275,0.300,0.230,0.330",raw
"H10-5 char(3,6)",char,"(3, 6)",2,0.789207854966907,0.5093334504094614,0.5897435897435898,0.2949999999999999,"0.5946,0.5909,0.6176,0.5753,0.6500","0.320,0.250,0.325,0.330,0.295",raw
"H10-5 char(3,6)",char,"(3, 6)",3,0.7910832828919296,0.5133262784171211,0.5788235294117647,0.2749999999999999,"0.5843,0.5352,0.6087,0.6944,0.5941","0.300,0.315,0.230,0.320,0.220",raw
"H10-5 char(3,6)",char,"(3, 6)",4,0.7881957192613394,0.5045432744355673,0.5776566757493188,0.31499999999999984,"0.5634,0.6337,0.5455,0.6098,0.7342","0.325,0.225,0.225,0.325,0.295",raw
