name,setting,seed,fold,fold_f1,fold_th
H12-1 full,"char_wb(1,3)",0,0,0.5882352941176471,0.22999999999999993
H12-1 full,"char_wb(1,3)",0,1,0.651685393258427,0.2949999999999999
H12-1 full,"char_wb(1,3)",0,2,0.5581395348837209,0.2749999999999999
H12-1 full,"char_wb(1,3)",0,3,0.55,0.27999999999999986
H12-1 full,"char_wb(1,3)",0,4,0.6458333333333334,0.22999999999999993
H12-1 full,"char_wb(1,3)",1,0,0.6086956521739131,0.2549999999999999
H12-1 full,"char_wb(1,3)",1,1,0.5934065934065934,0.2549999999999999
H12-1 full,"char_wb(1,3)",1,2,0.575,0.32999999999999985
H12-1 full,"char_wb(1,3)",1,3,0.6373626373626373,0.21999999999999992
H12-1 full,"char_wb(1,3)",1,4,0.6133333333333333,0.33999999999999986
H12-1 full,"char_wb(1,3)",2,0,0.5974025974025974,0.31499999999999984
H12-1 full,"char_wb(1,3)",2,1,0.5866666666666667,0.3049999999999999
H12-1 full,"char_wb(1,3)",2,2,0.6197183098591549,0.32999999999999985
H12-1 full,"char_wb(1,3)",2,3,0.5714285714285714,0.22499999999999992
H12-1 full,"char_wb(1,3)",2,4,0.6585365853658537,0.2949999999999999
H12-1 full,"char_wb(1,3)",3,0,0.5882352941176471,0.2599999999999999
H12-1 full,"char_wb(1,3)",3,1,0.5192307692307693,0.22999999999999993
H12-1 full,"char_wb(1,3)",3,2,0.627906976744186,0.2649999999999999
H12-1 full,"char_wb(1,3)",3,3,0.6933333333333334,0.3099999999999999
H12-1 full,"char_wb(1,3)",3,4,0.5882352941176471,0.33999999999999986
H12-1 full,"char_wb(1,3)",4,0,0.5714285714285714,0.2549999999999999
H12-1 full,"char_wb(1,3)",4,1,0.6185567010309279,0.24499999999999988
H12-1 full,"char_wb(1,3)",4,2,0.5346534653465347,0.2499999999999999
H12-1 full,"char_wb(1,3)",4,3,0.6329113924050633,0.34499999999999986
H12-1 full,"char_wb(1,3)",4,4,0.7323943661971831,0.34499999999999986
H12-2 current,"char_wb(1,3)",0,0,0.5925925925925926,0.2149999999999999
H12-2 current,"char_wb(1,3)",0,1,0.6530612244897959,0.2549999999999999
H12-2 current,"char_wb(1,3)",0,2,0.6301369863013698,0.3099999999999999
H12-2 current,"char_wb(1,3)",0,3,0.5675675675675675,0.2999999999999999
H12-2 current,"char_wb(1,3)",0,4,0.6346153846153846,0.21999999999999992
H12-2 current,"char_wb(1,3)",1,0,0.65,0.28999999999999987
H12-2 current,"char_wb(1,3)",1,1,0.6027397260273972,0.32499999999999984
H12-2 current,"char_wb(1,3)",1,2,0.575,0.31499999999999984
H12-2 current,"char_wb(1,3)",1,3,0.6428571428571429,0.2549999999999999
H12-2 current,"char_wb(1,3)",1,4,0.6133333333333333,0.31499999999999984
H12-2 current,"char_wb(1,3)",2,0,0.6197183098591549,0.31999999999999984
H12-2 current,"char_wb(1,3)",2,1,0.5974025974025974,0.2949999999999999
H12-2 current,"char_wb(1,3)",2,2,0.6301369863013698,0.2999999999999999
H12-2 current,"char_wb(1,3)",2,3,0.5818181818181818,0.22999999999999993
H12-2 current,"char_wb(1,3)",2,4,0.6419753086419753,0.2999999999999999
H12-2 current,"char_wb(1,3)",3,0,0.5813953488372093,0.2999999999999999
H12-2 current,"char_wb(1,3)",3,1,0.5102040816326531,0.2499999999999999
H12-2 current,"char_wb(1,3)",3,2,0.5945945945945946,0.3049999999999999
H12-2 current,"char_wb(1,3)",3,3,0.6829268292682927,0.27999999999999986
H12-2 current,"char_wb(1,3)",3,4,0.5945945945945946,0.3049999999999999
H12-2 current,"char_wb(1,3)",4,0,0.5609756097560976,0.2649999999999999
H12-2 current,"char_wb(1,3)",4,1,0.6097560975609756,0.28999999999999987
H12-2 current,"char_wb(1,3)",4,2,0.5396825396825397,0.32999999999999985
H12-2 current,"char_wb(1,3)",4,3,0.6,0.31499999999999984
H12-2 current,"char_wb(1,3)",4,4,0.7631578947368421,0.3099999999999999
H12-3 future,"char_wb(1,3)",0,0,0.594059405940594,0.24499999999999988
H12-3 future,"char_wb(1,3)",0,1,0.6666666666666666,0.3099999999999999
H12-3 future,"char_wb(1,3)",0,2,0.5252525252525253,0.23499999999999993
H12-3 future,"char_wb(1,3)",0,3,0.5454545454545454,0.22999999999999993
H12-3 future,"char_wb(1,3)",0,4,0.6285714285714286,0.2099999999999999
H12-3 future,"char_wb(1,3)",1,0,0.6111111111111112,0.34499999999999986
H12-3 future,"char_wb(1,3)",1,1,0.6,0.2949999999999999
H12-3 future,"char_wb(1,3)",1,2,0.5411764705882353,0.3099999999999999
H12-3 future,"char_wb(1,3)",1,3,0.6046511627906976,0.23499999999999993
H12-3 future,"char_wb(1,3)",1,4,0.6086956521739131,0.3499999999999998
H12-3 future,"char_wb(1,3)",2,0,0.5822784810126582,0.3099999999999999
H12-3 future,"char_wb(1,3)",2,1,0.5641025641025641,0.2749999999999999
H12-3 future,"char_wb(1,3)",2,2,0.6176470588235294,0.34499999999999986
H12-3 future,"char_wb(1,3)",2,3,0.5714285714285714,0.23999999999999988
H12-3 future,"char_wb(1,3)",2,4,0.6571428571428571,0.3549999999999998
H12-3 future,"char_wb(1,3)",3,0,0.5961538461538461,0.2549999999999999
H12-3 future,"char_wb(1,3)",3,1,0.5046728971962616,0.2149999999999999
H12-3 future,"char_wb(1,3)",3,2,0.6,0.24499999999999988
H12-3 future,"char_wb(1,3)",3,3,0.7105263157894737,0.31499999999999984
H12-3 future,"char_wb(1,3)",3,4,0.5882352941176471,0.31999999999999984
