name,setting,seed,auc,ap,f1,th,fold_f1,fold_th
H12-1 full,"char_wb(1,3)",0,0.7855363823094554,0.5094714581301769,0.5794871794871795,0.3099999999999999,"0.5882,0.6517,0.5581,0.5500,0.6458","0.230,0.295,0.275,0.280,0.230"
H12-1 full,"char_wb(1,3)",1,0.7862409081437232,0.5041253544643474,0.5789473684210527,0.31999999999999984,"0.6087,0.5934,0.5750,0.6374,0.6133","0.255,0.255,0.330,0.220,0.340"
H12-1 full,"char_wb(1,3)",2,0.7858936066761265,0.5143239259651639,0.5852417302798982,0.3099999999999999,"0.5974,0.5867,0.6197,0.5714,0.6585","0.315,0.305,0.330,0.225,0.295"
H12-1 full,"char_wb(1,3)",3,0.7884636375363426,0.5117278468876869,0.5888324873096447,0.3099999999999999,"0.5882,0.5192,0.6279,0.6933,0.5882","0.260,0.230,0.265,0.310,0.340"
H12-1 full,"char_wb(1,3)",4,0.7844051718149975,0.5019997273179548,0.5779036827195467,0.34499999999999986,"0.5714,0.6186,0.5347,0.6329,0.7324","0.255,0.245,0.250,0.345,0.345"
H12-2 current,"char_wb(1,3)",0,0.7897933060122846,0.5231511988504975,0.5933503836317136,0.3049999999999999,"0.5926,0.6531,0.6301,0.5676,0.6346","0.215,0.255,0.310,0.300,0.220"
H12-2 current,"char_wb(1,3)",1,0.7942983021919684,0.5185665292651368,0.5913978494623656,0.31499999999999984,"0.6500,0.6027,0.5750,0.6429,0.6133","0.290,0.325,0.315,0.255,0.315"
H12-2 current,"char_wb(1,3)",2,0.7898925350030265,0.5212710687772873,0.5935162094763092,0.2949999999999999,"0.6197,0.5974,0.6301,0.5818,0.6420","0.320,0.295,0.300,0.230,0.300"
H12-2 current,"char_wb(1,3)",3,0.7880468757752265,0.5138218840446341,0.5798525798525799,0.2949999999999999,"0.5814,0.5102,0.5946,0.6829,0.5946","0.300,0.250,0.305,0.280,0.305"
H12-2 current,"char_wb(1,3)",4,0.7858241463826071,0.5036949402209338,0.5826771653543307,0.3049999999999999,"0.5610,0.6098,0.5397,0.6000,0.7632","0.265,0.290,0.330,0.315,0.310"
H12-3 future,"char_wb(1,3)",0,0.7779354416186235,0.4956734684854073,0.5700483091787439,0.28999999999999987,"0.5941,0.6667,0.5253,0.5455,0.6286","0.245,0.310,0.235,0.230,0.210"
H12-3 future,"char_wb(1,3)",1,0.780793236551991,0.4930811483791234,0.5728395061728395,0.2949999999999999,"0.6111,0.6000,0.5412,0.6047,0.6087","0.345,0.295,0.310,0.235,0.350"
H12-3 future,"char_wb(1,3)",2,0.778074362205662,0.49396524610553805,0.5748792270531401,0.28999999999999987,"0.5823,0.5641,0.6176,0.5714,0.6571","0.310,0.275,0.345,0.240,0.355"
H12-3 future,"char_wb(1,3)",3,0.7793147245899361,0.4901182956346555,0.5763440860215053,0.2549999999999999,"0.5962,0.5047,0.6000,0.7105,0.5882","0.255,0.215,0.245,0.315,0.320"
H12-3 future,"char_wb(1,3)",4,0.778431586572333,0.49283828168605465,0.5637860082304527,0.23999999999999988,"0.5366,0.6237,0.5495,0.6301,0.7273","0.285,0.250,0.260,0.370,0.300"
H12-4 current|future,"char_wb(1,3)",0,0.7859134524742749,0.5110703987222496,0.5801526717557252,0.3099999999999999,"0.5841,0.6667,0.5789,0.5405,0.6465","0.180,0.360,0.310,0.310,0.220"
H12-4 current|future,"char_wb(1,3)",1,0.7904978318465523,0.506976855557113,0.5812807881773399,0.2949999999999999,"0.6279,0.6214,0.5714,0.6667,0.5974","0.275,0.210,0.320,0.240,0.335"
H12-4 current|future,"char_wb(1,3)",2,0.7864393661252072,0.5064138622401237,0.5898123324396782,0.32999999999999985,"0.5867,0.5750,0.6479,0.5714,0.6500","0.340,0.270,0.345,0.235,0.305"
H12-4 current|future,"char_wb(1,3)",3,0.7871538148585491,0.5078946674994435,0.5823389021479713,0.28499999999999986,"0.5849,0.5135,0.6190,0.6842,0.5974","0.230,0.330,0.260,0.315,0.285"
H12-4 current|future,"char_wb(1,3)",4,0.7846036297964813,0.5006346875431414,0.5745140388768899,0.2499999999999999,"0.5581,0.6122,0.5385,0.6098,0.7568","0.255,0.225,0.230,0.315,0.330"
H12-5 full|future,"char_wb(1,3)",0,0.7818351409547813,0.5054632879387158,0.5748502994011976,0.21999999999999992,"0.5825,0.6744,0.5393,0.5567,0.6452","0.205,0.330,0.255,0.220,0.225"
H12-5 full|future,"char_wb(1,3)",1,0.7843456344205523,0.5011440717251971,0.5775656324582339,0.27999999999999986,"0.6154,0.6000,0.5542,0.6353,0.6197","0.310,0.215,0.330,0.235,0.370"
