model,seed,auc,ap,f1,th
M0_lr,0,0.6726435595423559,0.40327062450836704,0.46715328467153283,0.28999999999999987
M0_lr,1,0.6733778540738461,0.39224315752969197,0.4664310954063604,0.2049999999999999
M0_lr,2,0.6771187870248172,0.3976383421137198,0.4595300261096606,0.31499999999999984
M0_lr,3,0.6745289103664526,0.4190224559376756,0.46029173419773095,0.18499999999999994
M0_lr,4,0.6755311231729462,0.41651699200207454,0.4553415061295972,0.2049999999999999
M1_svm,0,0.6542266588606526,0.3754571988202408,0.4470588235294118,0.27999999999999986
M1_svm,1,0.6595106026176608,0.3708033557981337,0.45364238410596025,0.2049999999999999
M1_svm,2,0.6668634708316382,0.3804804519969023,0.4627151051625239,0.23499999999999993
M1_svm,3,0.664387707512627,0.395207563873884,0.44666666666666666,0.2049999999999999
M1_svm,4,0.6626611230737173,0.39511555076799326,0.4517374517374517,0.23999999999999988
M2_gp,0,0.6553281006578883,0.3732348170853881,0.45,0.22999999999999993
M2_gp,1,0.6614902209829624,0.3693551843800398,0.45989304812834225,0.22499999999999992
M2_gp,2,0.6638022564672494,0.37875308608044306,0.4481132075471698,0.27999999999999986
M2_gp,3,0.6635144923940979,0.39553274497713,0.4444444444444444,0.2099999999999999
M2_gp,4,0.6627305833672364,0.3970093352364019,0.45269016697588127,0.23499999999999993
M3_gp_ard,0,0.6491858261309624,0.367880569031516,0.45500848896434637,0.2049999999999999
M3_gp_ard,1,0.6548021870069559,0.37476667403043074,0.47877758913412566,0.2049999999999999
M3_gp_ard,2,0.6549113388967721,0.3653145418471545,0.4554794520547945,0.2099999999999999
M3_gp_ard,3,0.6660746003552398,0.39633111585137487,0.45504587155963305,0.21999999999999992
M3_gp_ard,4,0.6585728886551496,0.3845014451187765,0.461038961038961,0.19499999999999995
