seed,構成,帯幅,n,帯の正例率,現行F1,上限F1,余地,帯内AUC_合成,p_合成,帯内AUC_不一致,p_不一致
0,exp019,40,40,0.45,0.7668,0.8086,0.0419,0.566,0.47,0.571,0.481
0,exp019,80,80,0.4,0.7668,0.8384,0.0716,0.653,0.021,0.525,0.685
0,exp019,120,120,0.417,0.7668,0.865,0.0983,0.71,0.001,0.503,0.959
0,exp019,160,160,0.412,0.7668,0.9136,0.1469,0.638,0.004,0.515,0.752
1,exp019,40,40,0.375,0.788,0.8209,0.0329,0.597,0.314,0.432,0.48
1,exp019,80,80,0.425,0.788,0.8564,0.0683,0.648,0.028,0.554,0.393
1,exp019,120,120,0.433,0.788,0.8944,0.1064,0.645,0.008,0.488,0.842
1,exp019,160,160,0.438,0.788,0.9274,0.1393,0.668,0.001,0.473,0.536
2,exp019,40,40,0.375,0.7826,0.8135,0.0309,0.6,0.3,0.411,0.363
2,exp019,80,80,0.35,0.7826,0.8391,0.0564,0.725,0.003,0.459,0.556
2,exp019,120,120,0.342,0.7826,0.8602,0.0776,0.775,0.0,0.508,0.885
2,exp019,160,160,0.35,0.7826,0.9046,0.122,0.694,0.0,0.529,0.555
3,exp019,40,40,0.425,0.7647,0.7978,0.0331,0.596,0.324,0.486,0.882
3,exp019,80,80,0.362,0.7647,0.8375,0.0728,0.59,0.189,0.44,0.395
3,exp019,120,120,0.383,0.7647,0.8833,0.1186,0.576,0.17,0.533,0.536
3,exp019,160,160,0.388,0.7647,0.9326,0.1679,0.565,0.165,0.547,0.315
