alpha,seed,d_auc,d_ap,d_f1,e10_weight_pct
0.001,0,-9.92289907419952e-06,-2.126537863444966e-05,0.0,0.0
0.001,1,-9.92289907419952e-06,-1.692906720851539e-05,0.0,0.0
0.001,2,0.0,0.0,0.0,0.0
0.001,3,9.92289907419952e-06,4.68933403722227e-05,0.0,0.0
0.001,4,-0.0003076098713000741,-0.0012334411923161648,-0.005333333333333301,1.1516470796503844
0.001,5,-9.92289907419952e-06,-5.1682073797798544e-05,-2.821949120257461e-05,0.18426258246315216
0.001,6,0.0,0.0,0.0,0.0
0.001,7,0.0,0.0,0.0,0.0
0.001,8,1.984579814839904e-05,4.854220806660425e-05,0.0,0.0
0.001,9,9.92289907419952e-06,2.7279837770621818e-05,0.0,0.0
0.003,0,0.0,0.0,0.0,0.0
0.003,1,0.0,0.0,0.0,0.009964244496564096
0.003,2,0.0,0.0,0.0,0.0
0.003,3,0.0,0.0,0.0,0.0
0.003,4,-0.00019845798148376836,-0.0003873594218400944,-0.005276820290225137,0.8745066988052729
0.003,5,-8.930609166779568e-05,-0.0003404767363284211,-0.0021332435125539506,0.1723375913461143
0.003,6,0.0,0.0,0.0,0.0
0.003,7,9.92289907419952e-06,1.906313784105773e-05,0.0,0.0
0.003,8,9.92289907419952e-06,5.3479895673058664e-05,0.0,0.0
0.003,9,0.0,0.0,0.0,0.0
0.01,0,0.0,0.0,0.0,0.0
0.01,1,-0.00011907478889039425,-0.0004288720096277121,0.0,0.1951453289710448
0.01,2,0.0,0.0,0.0,0.0
0.01,3,0.0,0.0,0.0,0.0
0.01,4,-0.00043660755926444583,-0.0008689191496582538,-0.005434782608695676,0.7869826526706057
0.01,5,-0.00015876638518697028,-0.00041157456380758184,-0.002164843514788295,0.29352618296346045
0.01,6,0.0,0.0,0.0,0.0
0.01,7,9.92289907419952e-06,7.126371584953439e-06,0.0,0.0
0.01,8,0.0,0.0,0.0,0.0
0.01,9,0.0,0.0,0.0,0.0
0.03,0,0.0,0.0,0.0,0.0
0.03,1,-0.00023814957778067747,-0.0007603871567973819,0.001990025305260046,0.7268557471474991
0.03,2,0.0,0.0,0.0,0.0
0.03,3,9.92289907419952e-06,9.111500328673472e-06,0.0,0.0
0.03,4,-0.0004564533574129559,-0.0005889415203770287,-0.0021105169340464025,1.6316632109831308
0.03,5,-0.00036714726574527123,-0.0005639115240709813,0.0,1.312927220429561
0.03,6,0.0,0.0,0.0,0.0
0.03,7,-2.976869722259856e-05,-2.7053939495313983e-05,0.0,0.14491137277127014
0.03,8,9.92289907419952e-06,2.105499564863944e-05,0.0,0.0
0.03,9,0.0,0.0,0.0,0.0
