seed,variant,auc,ap,f1,th
0,exp032,0.9475177867965905,0.8539968970066386,0.7853107344632768,0.4199999999999998
0,exp032+H35,0.9466445716780615,0.8529703694124513,0.7762803234501348,0.3549999999999998
0,H35単体,0.6932335751213075,0.40766554995586696,0.48841354723707664,0.21999999999999992
1,exp032,0.952310547049426,0.8677073130467187,0.7960199004975125,0.28999999999999987
1,exp032+H35,0.9530448415809163,0.8698946578504697,0.7990074441687345,0.28499999999999986
1,H35単体,0.6918146005536977,0.4018151150989485,0.4847457627118644,0.2049999999999999
2,exp032,0.9523403157466486,0.88015094689436,0.8057142857142857,0.4249999999999998
2,exp032+H35,0.9509213411790389,0.8742595410080085,0.8022922636103151,0.4199999999999998
2,H35単体,0.6877462119332783,0.3947156323430183,0.4863013698630137,0.2099999999999999
3,exp032,0.9526578485170227,0.8659042989283895,0.7896103896103897,0.3049999999999999
3,exp032+H35,0.9524891592327615,0.8661229129206938,0.7947368421052632,0.3099999999999999
3,H35単体,0.6922214394157397,0.4033102607932446,0.48375451263537905,0.21999999999999992
4,exp032,0.9460988122289808,0.8466905651747978,0.7891891891891892,0.3949999999999998
4,exp032+H35,0.946515573990097,0.8495259733066416,0.7885117493472585,0.34499999999999986
4,H35単体,0.6913482242972108,0.3979385050165679,0.4896551724137931,0.2099999999999999
5,exp032,0.9493634460243905,0.8687099700216105,0.7917737789203085,0.31499999999999984
5,exp032+H35,0.9513281800410807,0.8747694967631097,0.7934782608695652,0.37499999999999983
5,H35単体,0.6876965974379075,0.3927846253264651,0.4889705882352941,0.22499999999999992
6,exp032,0.9532036079661034,0.8740397407205913,0.8022922636103151,0.4149999999999998
6,exp032+H35,0.9540768230846325,0.8734410257351172,0.8034188034188035,0.4199999999999998
6,H35単体,0.6938686406620559,0.4019386458344877,0.4828767123287671,0.2099999999999999
7,exp032,0.950107663454955,0.855272421194359,0.8042895442359249,0.3649999999999998
7,exp032+H35,0.9511892594540421,0.8646314488238265,0.8010610079575596,0.3649999999999998
7,H35単体,0.6848388025045398,0.39544183480667905,0.4749536178107607,0.22499999999999992
8,exp032,0.9511793365549678,0.8657458568086736,0.8047337278106509,0.5099999999999998
8,exp032+H35,0.9512289510503389,0.8659452726394258,0.7952522255192879,0.5149999999999998
8,H35単体,0.690028478720343,0.4001819102200582,0.48300536672629696,0.21999999999999992
9,exp032,0.9570437699078163,0.8776289403663924,0.8062015503875969,0.3099999999999999
9,exp032+H35,0.955853022018913,0.8741788292925923,0.8131868131868132,0.38499999999999984
9,H35単体,0.6929954255435268,0.4063240733049369,0.49295774647887325,0.2149999999999999
