seed,variant,auc,ap,f1,th
0,exp032,0.9475177867965905,0.8539968970066386,0.7853107344632768,0.4199999999999998
0,exp032+H35b,0.9466644174762099,0.8524226896973215,0.7762803234501348,0.3599999999999998
0,H35b単体,0.6924794347916687,0.40470044378768016,0.4787234042553192,0.2149999999999999
1,exp032,0.952310547049426,0.8677073130467187,0.7960199004975125,0.28999999999999987
1,exp032+H35b,0.9530547644799905,0.8651017093136162,0.7960687960687961,0.2599999999999999
1,H35b単体,0.693868640662056,0.4036382343960969,0.4840989399293286,0.2099999999999999
2,exp032,0.9523403157466486,0.88015094689436,0.8057142857142857,0.4249999999999998
2,exp032+H35b,0.9510602617660776,0.873958912650361,0.7896253602305475,0.4249999999999998
2,H35b単体,0.6917848318564751,0.399995193554188,0.47840531561461797,0.1999999999999999
3,exp032,0.9526578485170227,0.8659042989283895,0.7896103896103897,0.3049999999999999
3,exp032+H35b,0.953392143048513,0.8694565630041274,0.7936507936507936,0.31999999999999984
3,H35b単体,0.6976889568056204,0.4088472662655134,0.48336252189141854,0.2099999999999999
4,exp032,0.9460988122289808,0.8466905651747978,0.7891891891891892,0.3949999999999998
4,exp032+H35b,0.9467636464669518,0.8512819685750276,0.7885117493472585,0.34499999999999986
4,H35b単体,0.6918741379481428,0.39888052285947423,0.47927927927927927,0.2149999999999999
5,exp032,0.9493634460243905,0.8687099700216105,0.7917737789203085,0.31499999999999984
5,exp032+H35b,0.9514373319308969,0.8740776208023796,0.7914438502673797,0.3599999999999998
5,H35b単体,0.6936602597814977,0.39857315966267537,0.4782608695652174,0.2149999999999999
6,exp032,0.9532036079661034,0.8740397407205913,0.8022922636103151,0.4149999999999998
6,exp032+H35b,0.9519632455818292,0.8703051199309242,0.8042895442359249,0.3499999999999998
6,H35b単体,0.6968157416870914,0.40821023625003616,0.4842105263157895,0.2099999999999999
7,exp032,0.950107663454955,0.855272421194359,0.8042895442359249,0.3649999999999998
7,exp032+H35b,0.950772497692926,0.8630886497055408,0.7978723404255319,0.3649999999999998
7,H35b単体,0.6912688411046171,0.39863925593072885,0.47654784240150094,0.22499999999999992
8,exp032,0.9511793365549678,0.8657458568086736,0.8047337278106509,0.5099999999999998
8,exp032+H35b,0.9514274090318228,0.8662742652888453,0.7943661971830986,0.4499999999999998
8,H35b単体,0.695366998422259,0.40538670817612565,0.47927927927927927,0.2149999999999999
9,exp032,0.9570437699078163,0.8776289403663924,0.8062015503875969,0.3099999999999999
9,exp032+H35b,0.9552278793772389,0.8709269690292343,0.8076923076923077,0.38499999999999984
9,H35b単体,0.6954563045139268,0.4076113500988334,0.4849557522123894,0.2099999999999999
