,auc,ap,f1,AP倍
E0_anchor,0.9290909632158131,0.8329105615389255,0.7349081364829396,3.452623668502138
E1_finance,0.825912658642349,0.6245766996373179,0.5957446808510638,2.589027436485418
E2_survey,0.6805818788017107,0.4283381785957022,0.4662813102119461,1.7755694330615142
E3_dx_text,0.7894360816456136,0.5063149069611423,0.5916230366492147,2.0988025752244
E4_org_text,0.7056471218631236,0.41421657142416257,0.4840182648401826,1.7170318212107745
E6_manual,0.8252577473034521,0.6257135886905402,0.6070460704607046,2.5937401274211216
E7_cross,0.8746539388947875,0.6859090475833333,0.6561679790026247,2.843265437468342
E0b_linear(C=0.03),0.9218174781944293,0.7876605622401301,0.727735368956743,3.2650510457104835
E0b_linear(C=0.1),0.9214304851305357,0.7861362885382569,0.7331536388140162,3.2587325480189193
E0b_linear(C=0.3),0.916627801978626,0.778222103759522,0.7343283582089553,3.225926262511538
E0b_linear(C=1.0),0.9087589430127907,0.7612954737831561,0.7226890756302521,3.1557611259614626
